,movie_title,level_1,0
0,Avatar ,actor_1_name,CCH Pounder
1,Avatar ,actor_2_name,Joel David Moore
2,Avatar ,actor_3_name,Wes Studi
3,Pirates of the Caribbean: At World's End ,actor_1_name,Johnny Depp
4,Pirates of the Caribbean: At World's End ,actor_2_name,Orlando Bloom
5,Pirates of the Caribbean: At World's End ,actor_3_name,Jack Davenport
6,Spectre ,actor_1_name,Christoph Waltz
7,Spectre ,actor_2_name,Rory Kinnear
8,Spectre ,actor_3_name,Stephanie Sigman
9,The Dark Knight Rises ,actor_1_name,Tom Hardy
